p1,p1_units,mean_cost,std_cost,cv_pct,min_cost,max_cost,median_cost,q25_cost,q75_cost,avg_optimal_p2,min_optimal_p2,max_optimal_p2,std_optimal_p2
1,50,18467.880908341976,751.2402627401981,4.067820593324605,16619.65496948485,20193.199811014125,18513.272436411622,17957.455574353695,18859.337820021876,5.04,3.0,6.0,0.72
2,100,18537.617407778787,776.824499955734,4.190530438014982,16827.44238744194,20508.90400748774,18528.51678404538,17882.59136436948,19127.320144245175,3.66,2.0,5.0,0.8272847151978574
3,150,18461.756493301946,772.604670152042,4.18489253951729,16456.259084096135,20131.54329044165,18382.824724939353,17999.73501273505,18952.21022478615,2.2,1.0,4.0,0.7348469228349535
4,200,19001.19325825933,837.2989516098748,4.406559841950571,17138.350485931427,22014.539860938075,18925.72457797872,18354.309063921217,19449.75449649504,1.19,1.0,3.0,0.41701318923986097
5,250,22150.558156678784,1619.2989235568468,7.310420406126875,18552.03835657412,26895.906232290214,21949.93654407573,20876.843711121022,23235.145581731307,1.0,1.0,1.0,0.0
6,300,26388.861544493724,1769.092106913341,6.703934930768085,22207.30863195976,30928.99028943127,26299.443730802166,25250.879865268882,27360.822120237783,1.0,1.0,1.0,0.0
7,350,31241.66959508793,1871.5797692992692,5.990652207632125,27109.264094697464,35761.39384277675,31125.539027561084,29838.876029486986,32325.83009397936,1.0,1.0,1.0,0.0
8,400,36375.043517301696,1888.534651052978,5.191841626676546,32046.88659418645,40290.48295457707,36286.40660603712,35043.77105166881,37812.17908188018,1.0,1.0,1.0,0.0
9,450,41771.48465602137,1982.4038131635782,4.745830390009406,37770.92284946682,45994.103832090215,41747.43871816069,40497.89106463881,43174.70613269164,1.0,1.0,1.0,0.0
10,500,46181.810284092724,1435.5093312381837,3.108386878746162,41764.28313496477,49921.75162360325,46341.940066742056,45335.037765817375,47233.44880738113,1.0,1.0,1.0,0.0
